Day, Price Man-hour, Price Potatoe, Price Land, Price Index, Inflation rate, Man-hour/Price Index, Potatoe/Price Index, Land/Price Index, Volume Man-hour, Volume Potatoe, Volume Land
0, 10.473816, 0.0, 0.0, 10.473816, 0.0, 1.0, 0.9807006, 0.88166904, 28.003166, 0.0, 0.0
1, 10.166595, 9.547619, 0.0, 9.735508, -0.07309861, 1.0442799, 0.99854535, 0.88354933, 28.00312, 64.2496, 0.0
2, 9.839736, 9.81009, 0.0, 9.824381, 0.009087324, 1.001563, 1.0273348, 0.9235908, 28.003077, 30.089226, 0.0
3, 9.523394, 10.079767, 0.0, 9.81157, -0.0013048218, 0.9706289, 1.0588049, 0.97794086, 28.003033, 30.089163, 0.0
4, 9.187876, 10.384331, 0.0, 9.807596, -4.0511007E-4, 0.9368122, 1.0900782, 1.0029593, 28.00048, 30.087431, 0.0
5, 8.864191, 10.698117, 0.0, 9.814082, 6.6109933E-4, 0.9032114, 1.1240946, 1.0254155, 28.002945, 30.089039, 0.0
6, 8.522063, 11.053462, 0.0, 9.833214, 0.0019475115, 0.866661, 1.1684102, 1.0426853, 28.002903, 30.088978, 0.0
7, 8.193147, 11.4206, 0.0, 9.774478, -0.005991121, 0.83821833, 1.2029188, 1.058791, 31.321724, 30.088919, 0.0
8, 7.8468037, 11.837617, 0.0, 9.840745, 0.0067567183, 0.797379, 1.2229474, 1.0854014, 34.708, 34.657078, 0.0
9, 8.729341, 12.269852, 0.0, 10.033017, 0.019349953, 0.87006134, 1.0947036, 1.0841225, 67.119354, 39.118618, 0.0
10, 8.8776, 10.828453, 0.0, 9.891676, -0.01418778, 0.89748186, 1.1017394, 1.1203628, 100.629425, 108.93291, 0.0
11, 8.82984, 10.922498, 0.0, 9.913867, 0.0022408937, 0.89065546, 1.1136504, 1.1631919, 135.53976, 145.67168, 0.0
12, 8.733148, 11.0961275, 0.0, 9.963743, 0.0050183414, 0.8764926, 1.063277, 1.222131, 169.05357, 183.71541, 0.0
13, 9.739847, 11.2806425, 0.0, 10.609317, 0.06277973, 0.9180466, 1.0272627, 1.2695487, 169.7849, 219.89752, 0.0
14, 9.391069, 9.995691, 0.0, 9.730414, -0.08647608, 0.9651253, 1.0509361, 1.3052577, 194.53165, 248.84636, 0.0
15, 9.366326, 10.543524, 0.0, 10.032507, 0.030574031, 0.9335978, 1.0463597, 1.3679321, 172.88823, 225.3841, 0.0
16, 9.439225, 10.410406, 0.0, 9.949166, -0.008341757, 0.94874537, 1.049946, 1.4074317, 178.06207, 196.86351, 0.0
17, 9.557398, 10.569934, 0.0, 10.067122, 0.011786154, 0.9493674, 1.0657432, 1.493457, 220.30444, 223.3336, 0.0
18, 9.665487, 11.034465, 0.0, 10.353775, 0.028076278, 0.933523, 1.1089981, 1.5956045, 232.69302, 235.29019, 0.0
19, 10.036983, 12.44591, 0.0, 11.222662, 0.08058394, 0.8943495, 1.0840073, 1.7057527, 274.82764, 266.38684, 0.0
20, 10.384515, 12.31493, 0.0, 11.36056, 0.01221262, 0.91408473, 1.0718796, 1.8148938, 299.11624, 305.90982, 0.0
21, 10.744587, 12.369478, 0.0, 11.5399885, 0.015670521, 0.9310743, 1.0744166, 1.9112406, 340.75546, 326.7514, 0.0
22, 10.840794, 12.52279, 0.0, 11.655432, 0.009954049, 0.9301066, 1.0770769, 2.0262167, 343.6206, 322.73434, 0.0
23, 10.874085, 12.630676, 0.0, 11.7268095, 0.006105315, 0.92728424, 1.0670348, 2.134295, 335.21347, 316.24634, 0.0
24, 11.167186, 12.717768, 0.0, 11.918793, 0.016238743, 0.93693936, 1.1015106, 2.2289426, 338.39984, 318.33728, 0.0
25, 10.834418, 13.150341, 0.0, 11.93846, 0.0016487758, 0.90752226, 1.0943648, 2.3766267, 341.8912, 311.46826, 0.0
26, 10.673802, 12.857306, 0.0, 11.748647, -0.016027087, 0.90851337, 1.0527662, 2.4854023, 326.63232, 316.66983, 0.0
27, 10.9804735, 12.199325, 0.0, 11.587876, -0.013778656, 0.9475829, 1.0255685, 2.7136703, 334.9501, 332.73438, 0.0
28, 11.285694, 11.879045, 0.0, 11.582888, -4.3060043E-4, 0.974342, 1.0035516, 2.8148494, 342.11993, 343.3163, 0.0
29, 11.367801, 11.449726, 0.0, 11.409205, -0.015108283, 0.9963709, 0.9745196, 2.909254, 346.8689, 354.4412, 0.0
30, 11.487457, 10.903194, 0.0, 11.188276, -0.019554054, 1.0267406, 0.9700461, 3.0722096, 358.84232, 376.5898, 0.0
31, 11.26402, 10.57522, 0.0, 10.901771, -0.025941255, 1.0332285, 0.9494197, 3.2826052, 351.97025, 390.44785, 0.0
32, 11.310124, 10.115378, 0.0, 10.654275, -0.022964, 1.0615574, 0.9340611, 3.519803, 334.43643, 407.01715, 0.0
33, 11.08147, 9.573854, 0.0, 10.249709, -0.038711887, 1.0811497, 0.9148997, 3.799658, 346.84537, 426.85495, 0.0
34, 11.0047455, 9.073695, 0.0, 9.917694, -0.032928884, 1.1096072, 0.8925545, 4.027182, 341.73184, 440.14294, 0.0
35, 11.1595955, 8.750336, 0.0, 9.803699, -0.011560727, 1.1383046, 0.8871614, 4.3734837, 357.31528, 459.93896, 0.0
36, 11.17906, 8.645687, 0.0, 9.7453375, -0.0059707523, 1.1471188, 0.87514985, 4.7857056, 357.8562, 466.5725, 0.0
37, 11.326834, 8.558167, 0.0, 9.779088, 0.0034572661, 1.158271, 0.8768358, 5.20249, 353.76257, 448.46063, 0.0
38, 11.6189575, 8.940754, 0.0, 10.196611, 0.04180922, 1.139492, 0.8864166, 5.637379, 328.92935, 372.53503, 0.0
39, 11.927091, 9.386462, 0.0, 10.589222, 0.03778124, 1.1263425, 0.89768684, 6.189148, 311.29852, 346.26733, 0.0
40, 12.228694, 9.897544, 0.0, 11.025609, 0.040383972, 1.1091173, 0.91025066, 6.7816987, 289.88608, 309.16443, 0.0
41, 12.484135, 10.403138, 0.0, 11.428872, 0.035922136, 1.0923331, 0.9326087, 7.0451894, 282.36404, 290.49307, 0.0
42, 12.569633, 10.984694, 0.0, 11.778459, 0.030129526, 1.0671712, 0.9517859, 7.6478186, 240.33298, 239.54874, 0.0
43, 12.717578, 11.548498, 0.0, 12.133504, 0.029698225, 1.0481373, 0.9708307, 8.018097, 226.39047, 226.02988, 0.0
44, 12.717737, 11.978319, 0.0, 12.338217, 0.016730957, 1.0307597, 0.9910987, 8.074403, 229.47348, 241.98424, 0.0
45, 12.918845, 12.686064, 0.0, 12.8, 0.036743686, 1.0092847, 1.0437886, 8.362157, 231.97343, 241.96648, 0.0
46, 12.850054, 14.031403, 0.0, 13.442763, 0.048995733, 0.95590866, 1.0684397, 8.897279, 222.18687, 223.72346, 0.0
47, 12.7641325, 14.828209, 0.0, 13.878376, 0.031891026, 0.9197137, 1.1340076, 9.342194, 205.62967, 241.22276, 0.0
48, 12.558673, 16.31402, 0.0, 14.386166, 0.035935078, 0.87296873, 1.1563855, 10.066357, 238.23055, 225.82855, 0.0
49, 12.304453, 17.277664, 0.0, 14.9410925, 0.03784828, 0.82353103, 1.239507, 10.214841, 231.8885, 261.6683, 0.0
50, 12.096534, 19.040989, 0.0, 15.361744, 0.027764956, 0.78744537, 1.2055306, 10.622084, 286.6161, 254.36243, 0.0
51, 11.805891, 17.623795, 0.0, 14.619118, -0.049550153, 0.8075652, 1.2428793, 11.094229, 276.81033, 259.17273, 0.0
52, 11.671024, 18.012121, 0.0, 14.492253, -0.008715854, 0.8053285, 1.1861421, 11.183612, 313.92734, 251.61768, 0.0
53, 11.573746, 16.506956, 0.0, 13.916509, -0.04053844, 0.83165586, 1.1847658, 11.33276, 303.08585, 274.10654, 0.0
54, 11.42932, 16.161152, 0.0, 13.640799, -0.020010613, 0.83787763, 1.1354176, 11.742731, 321.44983, 282.0556, 0.0
55, 11.544739, 14.999393, 0.0, 13.2104645, -0.032055918, 0.87390864, 1.1058813, 11.956218, 324.67953, 302.31888, 0.0
56, 11.692435, 14.409897, 0.0, 13.030237, -0.013736684, 0.89733094, 1.0766004, 12.407343, 320.19162, 310.47717, 0.0
57, 11.466815, 13.408801, 0.0, 12.4547615, -0.045169596, 0.9206772, 1.0510603, 12.796991, 321.66962, 333.10205, 0.0
58, 11.208041, 12.527826, 0.0, 11.919227, -0.04395022, 0.94033295, 1.0485518, 13.186668, 302.89465, 353.95013, 0.0
59, 10.984266, 12.188873, 0.0, 11.624483, -0.025039295, 0.9449251, 1.0259888, 13.780793, 317.31903, 359.95203, 0.0
60, 10.894827, 11.536681, 0.0, 11.2444515, -0.03323868, 0.96890694, 0.9909582, 14.298737, 316.5944, 378.7743, 0.0
61, 10.837554, 10.616055, 0.0, 10.712918, -0.04842448, 1.0116341, 0.9667677, 14.21667, 311.19543, 400.41647, 0.0
62, 10.995595, 10.208915, 0.0, 10.559842, -0.0143920025, 1.0412651, 0.96526784, 14.526975, 327.43793, 406.58624, 0.0
63, 11.117873, 10.312559, 0.0, 10.683624, 0.0116538005, 1.0406462, 0.93878114, 14.622218, 337.12863, 394.5335, 0.0
64, 11.135032, 9.734529, 0.0, 10.369327, -0.029860046, 1.0738432, 0.9201518, 14.779574, 342.75443, 413.4359, 0.0
65, 11.316495, 9.504391, 0.0, 10.329155, -0.0038816058, 1.0955877, 0.9205486, 14.33082, 350.93564, 420.11172, 0.0
66, 11.361757, 9.527701, 0.0, 10.350025, 0.0020184761, 1.0977516, 0.9168101, 14.912745, 342.12457, 420.927, 0.0
67, 11.27853, 9.400036, 0.0, 10.25298, -0.009420535, 1.1000246, 0.92221934, 14.949131, 358.4212, 430.9531, 0.0
68, 11.297872, 9.533832, 0.0, 10.337922, 0.008250473, 1.0928571, 0.91434336, 15.33546, 357.86786, 427.2344, 0.0
69, 11.397104, 9.443791, 0.0, 10.328496, -9.122159E-4, 1.1034621, 0.909297, 15.306757, 359.39728, 434.10547, 0.0
70, 11.6444235, 9.545206, 0.0, 10.497347, 0.016215872, 1.109273, 0.91490656, 15.583065, 347.49402, 418.63797, 0.0
71, 11.816704, 9.845312, 0.0, 10.761003, 0.024806177, 1.0981044, 0.9130349, 15.630514, 357.17816, 411.79178, 0.0
72, 12.030212, 10.004747, 0.0, 10.957684, 0.018112183, 1.0978792, 0.92647034, 15.918868, 318.87686, 358.89563, 0.0
73, 12.280572, 10.544626, 0.0, 11.381504, 0.037948683, 1.0789938, 0.9472621, 16.279184, 322.6639, 346.6413, 0.0
74, 12.344256, 11.0690565, 0.0, 11.685315, 0.02634335, 1.0563905, 0.9701556, 16.491102, 329.07303, 351.86514, 0.0
75, 12.25602, 11.516554, 0.0, 11.8708315, 0.015751319, 1.0324483, 1.0030568, 16.724915, 349.92667, 380.45834, 0.0
76, 12.0362425, 12.1143465, 0.0, 12.077429, 0.017254068, 0.9965898, 1.0206385, 16.734032, 327.19293, 365.03314, 0.0
77, 11.900211, 12.413486, 0.0, 12.162471, 0.0070167244, 0.978437, 1.022717, 16.738363, 340.1133, 355.35086, 0.0
78, 11.806881, 12.364847, 0.0, 12.090195, -0.005960279, 0.9765667, 1.0081933, 16.80891, 337.18652, 347.82092, 0.0
79, 11.66822, 11.8650255, 0.0, 11.768602, -0.0269596, 0.9914703, 0.9949613, 16.71683, 348.82275, 363.14734, 0.0
80, 11.656991, 11.536112, 0.0, 11.594533, -0.014901478, 1.0053868, 0.9772131, 16.92865, 349.14377, 373.26703, 0.0
81, 11.630766, 11.083777, 0.0, 11.342232, -0.022000609, 1.0254389, 0.9541495, 16.768003, 348.25482, 388.7862, 0.0
82, 11.741405, 10.643113, 0.0, 11.154555, -0.016685119, 1.0526108, 0.9408445, 16.982693, 352.02576, 403.92822, 0.0
83, 11.632902, 10.209656, 0.0, 10.851587, -0.027536599, 1.072, 0.93851596, 16.996933, 343.0863, 417.58136, 0.0
84, 11.552388, 10.105881, 0.0, 10.767937, -0.0077384687, 1.0728507, 0.9546659, 17.192963, 350.71982, 415.5578, 0.0
85, 11.647731, 10.588272, 0.0, 11.091076, 0.029567916, 1.0501895, 0.9756357, 16.999348, 347.1161, 384.29227, 0.0
86, 11.6813135, 11.1030445, 0.0, 11.380318, 0.025744533, 1.0264488, 0.9872956, 17.270794, 353.40527, 383.64047, 0.0
87, 11.737473, 11.434021, 0.0, 11.581152, 0.017493602, 1.0134978, 0.9883127, 17.219534, 352.82785, 374.86676, 0.0
88, 11.784556, 11.504906, 0.0, 11.640957, 0.005150699, 1.0123357, 0.9794368, 17.396305, 354.03467, 373.67697, 0.0
89, 11.756107, 11.260677, 0.0, 11.497094, -0.012435324, 1.0225285, 0.9571864, 17.165987, 347.08163, 380.2552, 0.0
90, 11.828822, 10.804083, 0.0, 11.287334, -0.01841307, 1.047973, 0.94891375, 17.392801, 355.15915, 397.95892, 0.0
91, 11.793499, 10.565565, 0.0, 11.134378, -0.013643773, 1.0591968, 0.9537166, 17.326408, 352.47815, 408.43884, 0.0
92, 11.845999, 10.734455, 0.0, 11.255393, 0.010809916, 1.0524732, 0.97009367, 17.310535, 354.6284, 402.05374, 0.0
93, 11.853128, 11.135044, 0.0, 11.478318, 0.01961249, 1.0326538, 0.98255354, 17.267803, 354.4608, 387.02295, 0.0
94, 11.857228, 11.437584, 0.0, 11.640673, 0.014045348, 1.0186033, 0.98061836, 17.465637, 354.1112, 377.5928, 0.0
95, 11.780225, 11.314217, 0.0, 11.537839, -0.008873255, 1.0210079, 0.96865946, 17.503977, 351.7523, 381.26468, 0.0
96, 11.769734, 11.015269, 0.0, 11.371663, -0.014507409, 1.0350056, 0.9613811, 17.540506, 350.05365, 390.98834, 0.0
97, 11.706806, 10.781479, 0.0, 11.214574, -0.013910398, 1.0438921, 0.95652986, 17.287582, 350.9855, 398.91125, 0.0
98, 11.695702, 10.656907, 0.0, 11.141217, -0.0065626744, 1.0497687, 0.9658202, 17.27612, 351.7065, 402.66824, 0.0
99, 11.673824, 10.859422, 0.0, 11.243731, 0.009159193, 1.0382519, 0.972834, 17.221434, 352.01074, 393.9492, 0.0
100, 11.668988, 11.021965, 0.0, 11.329749, 0.007621242, 1.0299423, 0.9817137, 17.281189, 352.00385, 387.97736, 0.0
101, 11.661709, 11.1903925, 10.05, 11.398835, 0.0060792426, 1.0230614, 0.9814258, 17.128304, 352.64148, 381.3462, 9.794616
102, 11.645522, 11.163304, 10.05, 11.3745775, -0.0021303499, 1.0238202, 0.97235245, 17.135012, 351.8229, 382.6667, 10.929815
103, 11.680614, 10.973844, 10.423526, 11.285871, -0.007829273, 1.0349768, 0.96400267, 17.130667, 352.68494, 389.53662, 20.495726
104, 11.618046, 10.750035, 10.905466, 11.151458, -0.011981317, 1.041841, 0.95906854, 17.211992, 350.8707, 397.2426, 17.275345
